,Target,Circle,Circle Length,Friend Pairs,Possible Friend Pairs,Degree of Intimacy
0,239,17,27,77,351,0.22
1,239,16,46,193,1035,0.19
2,239,19,13,22,78,0.28
3,239,18,19,10,171,0.06
4,345,28,7,7,21,0.33
5,345,29,48,704,1128,0.62
6,345,22,145,4410,10440,0.42
7,345,20,30,128,435,0.29
8,345,26,27,249,351,0.71
9,345,27,16,22,120,0.18
10,345,24,6,15,15,1.0
11,611,39,42,65,861,0.08
12,611,38,108,1657,5778,0.29
13,611,36,16,22,120,0.18
14,611,48,8,15,28,0.54
15,611,13,22,57,231,0.25
16,611,40,51,571,1275,0.45
17,611,41,40,266,780,0.34
18,611,42,13,12,78,0.15
19,611,43,9,1,36,0.03
20,611,45,18,2,153,0.01
21,1357,94,10,24,45,0.53
22,1357,101,10,3,45,0.07
23,1357,98,7,5,21,0.24
24,1357,95,8,0,28,0.0
25,1357,88,9,2,36,0.06
26,1357,96,16,3,120,0.03
27,1357,85,31,142,465,0.31
28,1357,86,64,277,2016,0.14
29,1357,87,10,16,45,0.36
30,1357,90,39,96,741,0.13
31,1839,113,54,312,1431,0.22
32,1839,116,32,152,496,0.31
33,1839,115,35,272,595,0.46
34,1839,114,34,108,561,0.19
35,1839,119,23,120,253,0.47
36,1839,118,11,30,55,0.55
37,1839,120,5,9,10,0.9
38,1839,84,6,1,15,0.07
39,1968,126,28,105,378,0.28
40,1968,127,6,1,15,0.07
41,1968,125,85,150,3570,0.04
42,1968,122,60,878,1770,0.5
43,1968,123,6,3,15,0.2
44,1968,121,11,29,55,0.53
45,1968,131,12,8,66,0.12
46,1968,133,6,15,15,1.0
47,1968,132,10,24,45,0.53
48,1968,92,9,5,36,0.14
49,1968,13,7,8,21,0.38
50,1968,74,76,920,2850,0.32
51,1968,10,47,479,1081,0.44
52,1968,18,26,59,325,0.18
53,2255,148,51,406,1275,0.32
54,2255,78,6,8,15,0.53
55,2255,18,93,1118,4278,0.26
56,2365,162,7,4,21,0.19
57,2365,163,7,3,21,0.14
58,2365,160,23,66,253,0.26
59,2365,156,5,10,10,1.0
60,2365,155,18,41,153,0.27
61,2365,154,36,335,630,0.53
62,2365,13,10,25,45,0.56
63,2365,164,24,82,276,0.3
64,2365,161,8,21,28,0.75
65,2365,159,14,46,91,0.51
66,2738,230,6,3,15,0.2
67,2738,225,5,1,10,0.1
68,2738,224,7,7,21,0.33
69,2738,227,7,7,21,0.33
70,2790,258,6,8,15,0.53
71,2790,259,9,8,36,0.22
72,2790,254,11,25,55,0.45
73,2790,255,5,5,10,0.5
74,2790,257,16,80,120,0.67
75,2790,253,54,310,1431,0.22
76,2790,261,11,16,55,0.29
77,2790,268,5,6,10,0.6
78,2895,276,27,284,351,0.81
79,2895,10,30,177,435,0.41
80,2895,84,18,59,153,0.39
81,2895,278,6,8,15,0.53
82,2895,18,14,31,91,0.34
83,3059,148,44,672,946,0.71
84,3059,312,10,21,45,0.47
85,3059,316,16,82,120,0.68
86,3059,306,18,82,153,0.54
87,3059,307,9,21,36,0.58
88,3059,304,11,11,55,0.2
89,3059,305,14,80,91,0.88
90,3059,302,84,2004,3486,0.57
91,3059,303,64,1377,2016,0.68
92,3059,300,7,20,21,0.95
93,3059,301,8,6,28,0.21
94,3059,311,5,6,10,0.6
95,3059,310,7,5,21,0.24
96,3059,308,36,161,630,0.26
97,3059,309,11,36,55,0.65
98,3735,104,8,5,28,0.18
99,3735,84,132,1383,8646,0.16
100,3735,216,5,6,10,0.6
101,3735,378,18,98,153,0.64
102,3735,376,75,975,2775,0.35
103,3735,374,9,5,36,0.14
104,3735,373,26,39,325,0.12
105,3735,371,335,4981,55945,0.09
106,3735,370,132,3043,8646,0.35
107,3735,388,21,41,210,0.2
108,3735,62,71,964,2485,0.39
109,3735,362,48,417,1128,0.37
110,3735,363,64,450,2016,0.22
111,3735,365,19,14,171,0.08
112,3735,367,91,715,4095,0.17
113,3735,205,25,86,300,0.29
114,3735,203,16,40,120,0.33
115,3735,39,70,49,2415,0.02
116,3735,382,8,6,28,0.21
117,3735,13,12,11,66,0.17
118,3735,74,24,31,276,0.11
119,4406,486,8,27,28,0.96
120,4406,408,8,12,28,0.43
121,4406,401,23,174,253,0.69
122,4406,400,304,2868,46056,0.06
123,4406,403,48,265,1128,0.23
124,4406,402,35,92,595,0.15
125,4406,405,41,206,820,0.25
126,4406,404,14,24,91,0.26
127,4406,407,7,2,21,0.1
128,4406,25,75,553,2775,0.2
129,4406,419,64,680,2016,0.34
130,4406,39,13,4,78,0.05
131,4406,414,5,2,10,0.2
132,4406,398,18,22,153,0.14
133,4406,395,17,115,136,0.85
134,4406,396,16,101,120,0.84
135,4406,424,9,24,36,0.67
136,4406,420,7,1,21,0.05
137,4406,282,5,1,10,0.1
138,4406,438,26,15,325,0.05
139,4406,444,14,1,91,0.01
140,4406,443,22,19,231,0.08
141,4406,449,11,0,55,0.0
142,4406,377,7,1,21,0.05
143,4406,464,20,25,190,0.13
144,4406,13,10,18,45,0.4
145,4406,10,20,50,190,0.26
146,4406,18,230,1319,26335,0.05
147,4829,503,26,205,325,0.63
148,4829,504,138,2810,9453,0.3
149,4829,505,6,13,15,0.87
150,4829,506,66,1232,2145,0.57
151,4829,508,30,251,435,0.58
152,4829,509,18,119,153,0.78
153,4829,320,6,11,15,0.73
154,4829,511,37,384,666,0.58
155,4829,510,15,97,105,0.92
156,4829,13,6,12,15,0.8
157,4829,301,13,11,78,0.14
158,5212,212,5,3,10,0.3
159,5212,188,33,136,528,0.26
160,5212,1152,13,55,78,0.71
161,5212,1600,20,171,190,0.9
162,5212,1606,9,3,36,0.08
163,5212,1589,10,21,45,0.47
164,5212,1585,131,564,8515,0.07
165,5212,1587,9,11,36,0.31
166,5212,592,6,7,15,0.47
167,5212,273,12,43,66,0.65
